1	4725	48
4725	3213	48
3213	4164	52
4164	6677	9
6677	3263	98
3263	4835	51
4835	3300	3
3300	1132	124
1132	3657	74
3300	1998	281
1998	9365	144
9365	3339	161
3263	7903	76
7903	3614	20
3614	6294	57
6294	7493	223
6294	8696	303
7903	2660	83
2660	4466	3
4466	8193	188
2660	7944	138
7903	1019	143
7903	1464	269
3263	5995	79
5995	2183	112
6677	5998	162
5998	8378	40
5998	1261	135
1261	9767	164
9767	1413	233
4164	3966	81
3966	1639	26
1639	3224	108
3224	6001	15
6001	5616	14
5616	6101	8
6101	6581	61
6581	8633	67
8633	995	6
8633	1603	305
6581	8575	137
3224	7866	27
7866	9819	0
7866	7762	156
7762	8360	94
3224	4958	139
3213	5678	54
5678	9603	49
9603	7744	11
9603	5981	30
5981	2096	13
2096	4076	3
4076	4793	36
4793	7083	258
4076	8490	38
8490	9687	30
9687	7376	128
9687	6574	135
6574	8406	157
8406	8017	12
8017	9482	59
9482	4172	29
8406	3797	133
3797	2917	189
6574	6154	222
6574	3609	289
9687	8031	160
8490	7638	41
7638	1445	187
7638	6765	223
2096	5284	23
5284	6293	32
6293	873	297
5284	9002	134
9002	8214	0
8214	3507	72
3507	9069	42
9069	3768	103
3768	5784	93
5784	4027	15
4027	4634	51
4634	5919	138
5919	962	77
5919	3925	141
3925	9836	116
5919	9128	230
9128	9607	260
4634	6670	292
4027	567	55
567	7042	248
7042	3093	234
3093	449	183
3093	9390	237
3093	2879	407
3768	8414	130
9069	1713	163
1713	1564	26
1564	6008	33
3507	3958	65
8214	7688	169
8214	5805	209
5284	5179	152
5284	365	172
2096	455	71
455	438	25
438	6178	78
438	9269	180
455	5531	74
5531	8002	24
8002	6280	29
8002	2457	54
2457	4511	27
4511	2726	3
2726	8275	29
2726	9550	84
9550	8988	71
8988	7414	28
7414	7198	313
9550	617	643
2457	5715	65
5715	5113	15
2457	789	125
789	1553	23
1553	8950	290
789	1258	169
8002	8520	119
8520	3149	14
3149	1778	62
1778	9219	110
9219	2840	49
2840	3544	2
3544	816	32
3544	3729	62
3729	2717	188
2840	3876	13
9219	8276	66
8276	6925	70
6925	7137	38
7137	5138	91
5138	9436	45
9436	5466	91
5466	7832	114
7832	1946	3
1946	4463	15
4463	4012	50
4012	5303	27
5303	1593	139
4012	819	239
4012	8769	242
4463	7661	187
7661	7320	51
1946	9564	86
7832	3183	69
