9160	3873	3452
5949	1576	755
319	8038	9584
2354	5147	8979
5390	9935	2028
563	1851	6094
1561	9512	1542
1400	8212	2642
190	9573	8517
4705	268	5206
3866	6622	6237
849	6752	564
9659	7711	3230
4652	1922	5653
5104	1041	4339
7204	9783	4221
3106	1633	1086
7685	8648	9735
3339	6522	9892
7875	673	7369
8557	6627	4761
2819	9478	1382
5751	8764	4359
9298	9750	2015
1334	7655	1781
9526	3443	7302
2640	2936	6329
7109	418	1774
2734	8305	6578
5131	2045	5853
9335	2056	2875
7615	7320	5782
836	8960	8753
2209	8880	216
360	9281	4739
1652	5204	4837
6249	8529	2751
1247	6287	485
121	2176	726
4700	7137	3346
8906	4041	1494
3221	4339	4130
6520	3879	3472
2916	8246	2354
3848	2253	8169
3272	1787	8787
6817	5616	2826
5606	33	4741
6793	8896	9118
2140	590	7136
6117	7507	8891
9083	9893	4746
4251	8470	8130
1718	3058	6557
1598	1733	7146
2371	6948	8042
4478	3572	709
2832	6111	4181
6072	1101	3339
4218	4931	7432
2404	9770	1997
5770	914	2154
7291	5599	7109
9504	9781	4699
2220	7488	9019
4729	6836	9505
1780	4858	7410
107	5220	6059
8241	8092	2296
7661	5730	9882
9057	8440	8314
1386	6284	3708
5078	6007	7430
6980	709	2822
6587	1224	8642
2354	251	9038
2182	5699	2923
5919	1528	5215
9517	5630	8602
93	1234	2097
9364	3742	6532
8955	2843	9744
5820	7070	1880
8375	4112	8735
9332	333	563
7083	644	9576
3678	6732	1762
6241	3719	290
7945	504	227
5373	2376	2750
1443	9689	7321
652	9541	2701
8700	9575	9857
9552	3998	6823
557	3147	7421
2208	7324	1655
969	647	4993
802	5018	1335
2176	3593	4107
5358	3839	5527
951	4328	7821
9331	4769	1551
6645	7351	5088
1296	5377	3246
9930	7469	427
7771	633	7791
185	8344	1575
3228	8333	659
2223	8118	101
6258	6989	3450
3188	2356	5676
7086	8591	3493
7706	8178	6158
3197	5526	5373
518	9359	5109
2683	3520	1363
1045	830	897
3022	3285	3269
4404	5681	1943
9232	7844	1639
953	1481	6331
2742	8059	6190
1314	2962	9375
2052	9973	8134
40	3163	8442
9553	5542	3740
6317	7263	8093
3619	4275	7372
2757	5199	1961
9194	3596	663
2190	6894	2791
5436	503	5108
2439	7749	9037
6880	1766	7376
1717	1519	5071
4436	5370	4387
3742	7237	5791
4334	8242	9340
7379	2738	9510
9575	372	2082
9035	8079	4650
9043	5887	4847
217	6328	6002
237	6482	3379
6985	9274	5771
1109	9267	964
6082	7907	9163
7433	9318	2659
677	857	7940
3198	1531	2310
9843	1543	6160
6091	3976	4025
7943	4318	3949
3743	7547	3846
6102	3253	4563
1184	8187	4952
1980	3824	2955
556	6284	1055
9230	400	2139
7181	8789	4828
23	2025	4480
9045	4790	2216
1529	8183	511
7008	6320	6584
8047	2642	8260
2404	4153	8233
8205	641	263
897	2545	5729
2402	6734	6732
6195	5070	3448
8182	9324	8105
4076	9596	9848
5460	1805	8989
7003	9240	2879
1293	741	2540
7605	2040	7843
6386	2073	3041
4325	6440	6906
5572	5526	7694
8542	1267	46
9779	865	8496
9241	7305	122
976	5328	1180
8862	5294	6572
3130	1715	2139
9156	4620	798
3625	913	9661
9126	4721	2113
4295	6822	8409
5399	4390	5358
9059	6997	7553
7500	3928	7004
2108	2307	3616
2021	2581	9572
7682	9311	1355
9383	8997	1207
9554	6296	9384
8111	7362	5924
7170	4190	117
6816	2452	6347
3493	6445	7777
2744	1055	3028
2869	4389	8012
2575	6027	9445
8288	416	2941
8847	210	7458
9729	4341	8544
8160	8488	286
4148	3223	4768
1018	7135	356
3102	10	6803
4249	1349	2887
4942	7225	1765
5028	4451	3424
8399	36	8549
1039	1804	3880
4908	1498	2343
2364	7384	9967
339	9996	7396
2423	1958	8732
5401	8068	4561
5015	7638	9594
6295	9432	5158
4841	2652	1956
2231	4463	5240
2056	4286	6128
2909	5445	4976
6394	9077	7781
9143	4689	8348
8258	5702	1104
7564	2907	2639
1017	1475	6160
754	8368	5662
8835	9562	372
1807	9644	4922
8901	8064	3998
4283	5051	3128
6715	1526	4082
1122	80	295
7402	6412	3986
1736	4582	6043
9108	1720	3778
4848	3021	6588
7728	1628	7620
